Sample;Date;Day;Temp;45;57;60;74
sample day 0_5;11/15/2023;1;day0;4.27E-02;4.50E-04;9.61E-04;1.81E-04
sample day 0_4;11/15/2023;1;day0;1.97E-02;2.27E-04;6.08E-04;1.02E-04
sample day 0_3;11/15/2023;1;day0;4.59E-02;4.41E-04;1.22E-03;2.06E-04
sample day 0_2;11/15/2023;1;day0;4.54E-02;3.93E-04;1.14E-03;1.64E-04
sample day 0_(1);11/15/2023;1;day0;4.65E-02;3.58E-04;1.17E-03;2.28E-04
2023-11-17_15C (1);11/17/2023;3;15;3.01E-02;9.08E-05;3.51E-04;1.27E-04
2023-11-17_15C (2);11/17/2023;3;15;3.10E-02;1.09E-04;4.60E-04;1.27E-04
2023-11-17_15C (3);11/17/2023;3;15;2.77E-02;6.89E-05;3.53E-04;1.05E-04
2023-11-17_15C (4);11/17/2023;3;15;2.51E-02;5.99E-05;3.51E-04;9.26E-05
2023-11-17_15C (5);11/17/2023;3;15;2.80E-02;6.66E-05;3.66E-04;1.08E-04
2023-11-17_25C (1);11/17/2023;3;25;2.94E-02;9.38E-05;4.51E-04;1.12E-04
2023-11-17_25C (2);11/17/2023;3;25;2.81E-02;8.31E-05;3.94E-04;9.67E-05
2023-11-17_25C (3);11/17/2023;3;25;2.87E-02;8.15E-05;3.89E-04;1.10E-04
2023-11-17_25C (4);11/17/2023;3;25;2.99E-02;9.02E-05;4.53E-04;1.20E-04
2023-11-17_25C (5);11/17/2023;3;25;2.43E-02;1.23E-04;7.95E-04;1.82E-04
2023-11-17_30C (1);11/17/2023;3;30;2.50E-02;1.09E-04;6.89E-04;1.91E-04
2023-11-17_30C (2);11/17/2023;3;30;1.45E-02;2.01E-04;1.05E-03;2.51E-04
2023-11-17_30C (3);11/17/2023;3;30;1.92E-02;1.44E-04;8.74E-04;1.94E-04
2023-11-17_30C (4);11/17/2023;3;30;2.20E-02;9.77E-05;6.19E-04;1.46E-04
20-11-2023_15C (1);11/20/2023;6;15;1.70E-02;2.20E-04;1.04E-03;2.34E-04
20-11-2023_15C (2);11/20/2023;6;15;2.54E-02;2.18E-04;1.02E-03;2.16E-04
20-11-2023_15C (3);11/20/2023;6;15;2.90E-02;2.35E-04;1.03E-03;2.58E-04
20-22-2023_15C (3);11/20/2023;6;15;1.11E-02;4.17E-04;1.99E-03;4.92E-04
20-22-2023_15C (5);11/20/2023;6;15;1.33E-02;4.49E-04;1.98E-03;5.26E-04
20-22-2023_25C (1);11/20/2023;6;25;1.49E-02;2.42E-04;1.50E-03;3.87E-04
20-22-2023_25C (2);11/20/2023;6;25;1.58E-02;1.89E-04;1.05E-03;3.40E-04
20-22-2023_25C (3);11/20/2023;6;25;1.69E-02;2.62E-04;1.22E-03;3.58E-04
20-22-2023_25C (5);11/20/2023;6;25;1.44E-02;1.94E-04;8.91E-04;1.77E-04
20-22-2023_25C (4);11/20/2023;6;25;2.45E-02;1.12E-04;7.05E-04;1.91E-04
20-22-2023_30C (1);11/20/2023;6;30;3.23E-02;1.25E-04;7.69E-04;2.13E-04
20-22-2023_30C (2);11/20/2023;6;30;2.75E-02;1.62E-04;8.91E-04;2.84E-04
20-22-2023_30C (3);11/20/2023;6;30;2.68E-02;1.47E-04;7.54E-04;2.29E-04
20-22-2023_30C (4);11/20/2023;6;30;3.17E-02;1.14E-04;6.94E-04;1.46E-04
22-11-2023_15C (1);11/22/2023;8;15;1.24E-02;5.27E-04;1.95E-03;6.09E-04
22-11-2023_15C (2);11/22/2023;8;15;1.30E-02;5.69E-04;2.56E-03;5.94E-04
22-11-2023_15C (3);11/22/2023;8;15;3.71E-02;2.39E-04;1.34E-03;2.73E-04
22-11-2023_15C (4);11/22/2023;8;15;1.42E-02;4.36E-04;1.96E-03;4.30E-04
22-11-2023_15C (5);11/22/2023;8;15;1.58E-02;2.96E-04;1.73E-03;4.53E-04
22-11-2023_25C (1);11/22/2023;8;25;2.32E-02;2.36E-04;1.44E-03;3.95E-04
22-11-2023_25C (2);11/22/2023;8;25;2.96E-02;1.73E-04;1.15E-03;2.64E-04
22-11-2023_25C (3);11/22/2023;8;25;2.86E-02;1.59E-04;9.48E-04;2.23E-04
22-11-2023_25C (4);11/22/2023;8;25;3.33E-02;1.79E-04;1.02E-03;2.46E-04
22-11-2023_25C (5);11/22/2023;8;25;2.54E-02;1.79E-04;9.41E-04;2.45E-04
22-11-2023_30C (1);11/22/2023;8;30;2.41E-02;2.03E-04;1.21E-03;2.19E-04
22-11-2023_30C (2);11/22/2023;8;30;2.61E-02;1.91E-04;1.04E-03;2.41E-04
22-11-2023_30C (3);11/22/2023;8;30;2.51E-02;1.51E-04;8.88E-04;2.09E-04
22-11-2023_30C (4);11/22/2023;8;30;2.68E-02;1.36E-04;8.15E-04;1.88E-04
27-11-2023_15C (1);11/27/2023;13;15;3.52E-02;2.55E-04;1.03E-03;2.72E-04
27-11-2023_15C (2);11/27/2023;13;15;2.80E-02;2.38E-04;1.05E-03;2.94E-04
27-11-2023_15C (3);11/27/2023;13;15;1.57E-02;3.78E-04;1.90E-03;4.35E-04
27-11-2023_15C (4);11/27/2023;13;15;2.02E-02;3.36E-04;1.67E-03;3.84E-04
27-11-2023_15C (5);11/27/2023;13;15;2.41E-02;2.77E-04;1.70E-03;3.70E-04
27-11-2023_25C (1);11/27/2023;13;25;2.41E-02;2.05E-04;1.22E-03;2.79E-04
27-11-2023_25C (2);11/27/2023;13;25;1.96E-02;4.62E-04;2.55E-03;6.05E-04
27-11-2023_25C (3);11/27/2023;13;25;3.82E-02;1.64E-04;9.38E-04;2.25E-04
27-11-2023_25C (4);11/27/2023;13;25;2.27E-02;1.72E-04;9.82E-04;2.39E-04
27-11-2023_25C (5);11/27/2023;13;25;3.70E-02;9.49E-05;6.67E-04;1.82E-04
27-11-2023_30C (1);11/27/2023;13;30;2.97E-02;1.84E-04;1.01E-03;2.15E-04
27-11-2023_30C (2);11/27/2023;13;30;3.20E-02;1.69E-04;9.47E-04;2.07E-04
27-11-2023_30C (3);11/27/2023;13;30;3.47E-02;1.54E-04;9.42E-04;2.19E-04
27-11-2023_30C (4);11/27/2023;13;30;3.36E-02;1.38E-04;8.76E-04;1.65E-04
29-11-2023_15C (1);11/29/2023;15;15;2.43E-02;2.71E-04;1.17E-03;3.43E-04
29-11-2023_15C (2);11/29/2023;15;15;1.94E-02;3.00E-04;1.34E-03;3.61E-04
29-11-2023_15C (3);11/29/2023;15;15;1.46E-02;2.72E-04;1.86E-03;4.78E-04
29-11-2023_15C (4);11/29/2023;15;15;1.49E-02;3.92E-04;1.91E-03;4.45E-04
29-11-2023_15C (5);11/29/2023;15;15;1.43E-02;3.51E-04;2.07E-03;5.49E-04
29-11-2023_25C (1);11/29/2023;15;25;1.57E-02;3.70E-04;2.19E-03;6.02E-04
29-11-2023_25C (2);11/29/2023;15;25;2.30E-02;2.80E-04;1.61E-03;3.78E-04
29-11-2023_25C (3);11/29/2023;15;25;1.67E-02;2.98E-04;1.68E-03;4.69E-04
29-11-2023_25C (4);11/29/2023;15;25;1.63E-02;3.11E-04;1.80E-03;4.29E-04
29-11-2023_25C (5);11/29/2023;15;25;1.86E-02;2.31E-04;1.42E-03;3.73E-04
29-11-2023_30C (1);11/29/2023;15;30;1.90E-02;1.89E-04;1.29E-03;3.09E-04
29-11-2023_30C (2);11/29/2023;15;30;1.61E-02;2.51E-04;1.37E-03;2.72E-04
29-11-2023_30C (3);11/29/2023;15;30;1.77E-02;1.83E-04;1.19E-03;2.42E-04
29-11-2023_30C (4);11/29/2023;15;30;1.64E-02;2.43E-04;1.53E-03;3.31E-04
01-12-2023_15C (1);12-1-2023;18;15;1.22E-02;4.21E-04;1.76E-03;4.76E-04
01-12-2023_15C (2);12-1-2023;18;15;1.53E-02;4.33E-04;2.20E-03;4.45E-04
01-12-2023_15C (3);12-1-2023;18;15;1.55E-02;3.91E-04;2.08E-03;4.68E-04
01-12-2023_15C (4);12-1-2023;18;15;1.88E-02;3.23E-04;1.56E-03;3.12E-04
01-12-2023_15C (5);12-1-2023;18;15;2.31E-02;2.70E-04;1.54E-03;3.01E-04
01-12-2023_25C (1);12-1-2023;18;25;2.07E-02;2.75E-04;1.64E-03;4.22E-04
01-12-2023_25C (2);12-1-2023;18;25;3.25E-02;1.66E-04;9.91E-04;2.05E-04
01-12-2023_25C (3);12-1-2023;18;25;3.31E-02;1.77E-04;1.07E-03;2.64E-04
01-12-2023_25C (4);12-1-2023;18;25;3.34E-02;1.64E-04;1.01E-03;1.88E-04
01-12-2023_25C (5);12-1-2023;18;25;3.86E-02;3.86E-04;1.90E-03;4.64E-04
01-12-2023_30C (1);12-1-2023;18;30;3.60E-02;1.53E-04;9.59E-04;2.04E-04
01-12-2023_30C (2);12-1-2023;18;30;3.46E-02;1.84E-04;9.96E-04;2.06E-04
01-12-2023_30C (3);12-1-2023;18;30;3.57E-02;1.40E-04;8.50E-04;2.01E-04
01-12-2023_30C (4);12-1-2023;18;30;3.77E-02;1.48E-04;8.45E-04;1.70E-04
05-12-2023_15C (1);12-4-2023;21;15;3.26E-02;2.40E-04;1.16E-03;2.86E-04
05-12-2023_15C (2);12-4-2023;21;15;4.09E-02;1.79E-04;9.39E-04;2.08E-04
05-12-2023_15C (3);12-4-2023;21;15;3.16E-02;2.34E-04;1.38E-03;3.21E-04
05-12-2023_15C (4);12-4-2023;21;15;1.80E-02;3.17E-04;2.02E-03;3.82E-04
05-12-2023_15C (5);12-4-2023;21;15;3.31E-02;2.26E-04;1.49E-03;2.63E-04
05-12-2023_25C (1);12-4-2023;21;25;2.57E-02;2.33E-04;1.36E-03;3.10E-04
05-12-2023_25C (2);12-4-2023;21;25;2.40E-02;1.95E-04;1.30E-03;2.24E-04
05-12-2023_25C (3);12-4-2023;21;25;1.63E-02;2.59E-04;1.57E-03;2.90E-04
05-12-2023_25C (4);12-4-2023;21;25;3.47E-02;1.44E-04;8.38E-04;1.58E-04
05-12-2023_25C (5);12-4-2023;21;25;2.70E-02;1.44E-04;8.93E-04;1.72E-04
05-12-2023_30C (1);12-4-2023;21;30;2.99E-02;9.81E-05;5.75E-04;1.13E-04
05-12-2023_30C (2);12-4-2023;21;30;3.27E-02;1.52E-04;9.39E-04;1.40E-04
05-12-2023_30C (3);12-4-2023;21;30;2.62E-02;1.57E-04;9.49E-04;1.72E-04
05-12-2023_30C (4);12-4-2023;21;30;2.52E-02;1.93E-04;1.12E-03;2.29E-04
06-12-2023_15 (1);12-6-2023;23;15;3.61E-02;1.71E-04;1.11E-03;2.84E-04
06-12-2023_15 (2);12-6-2023;23;15;1.54E-02;2.83E-04;1.68E-03;4.15E-04
06-12-2023_15C (3);12-6-2023;23;15;1.39E-02;2.52E-04;1.35E-03;3.55E-04
06-12-2023_15C (4);12-6-2023;23;15;1.36E-02;2.92E-04;1.61E-03;3.93E-04
06-12-2023_15C (5);12-6-2023;23;15;2.12E-02;2.02E-04;1.35E-03;3.42E-04
06-12-2023_25C (1);12-6-2023;23;25;2.14E-02;2.28E-04;1.48E-03;3.34E-04
06-12-2023_25C (2);12-6-2023;23;25;3.22E-02;1.33E-04;1.02E-03;2.19E-04
06-12-2023_25C (3);12-6-2023;23;25;2.42E-02;1.43E-04;9.89E-04;1.92E-04
06-12-2023_25C (4);12-6-2023;23;25;3.09E-02;1.57E-04;1.34E-03;2.73E-04
06-12-2023_25C (5);12-6-2023;23;25;3.06E-02;1.64E-04;9.95E-04;2.14E-04
06-12-2023_30C (1);12-6-2023;23;30;3.08E-02;1.52E-04;9.16E-04;1.87E-04
06-12-2023_30C (2);12-6-2023;23;30;3.08E-02;1.21E-04;9.11E-04;1.48E-04
06-12-2023_30C (3);12-6-2023;23;30;3.11E-02;1.29E-04;9.17E-04;2.07E-04
06-12-2023_30C (4);12-6-2023;23;30;3.43E-02;1.89E-04;1.05E-03;2.01E-04
2023-12-08 15C (1);12-8-2023;25;15;2.39E-02;1.36E-04;4.16E-04;1.76E-04
2023-12-08 15C (2);12-8-2023;25;15;1.17E-02;2.70E-04;1.48E-03;4.39E-04
2023-12-08 15C (3);12-8-2023;25;15;3.57E-02;1.57E-04;8.73E-04;1.83E-04
2023-12-08 15C (4);12-8-2023;25;15;2.80E-02;9.22E-05;5.14E-04;1.27E-04
2023-12-08 15C (5);12-8-2023;25;15;2.31E-02;7.75E-05;5.35E-04;1.02E-04
2023-12-08 25C (1);12-8-2023;25;25;1.57E-02;5.31E-05;3.48E-04;8.31E-05
11-12-2023_25C (1);12-11-2023;28;25;1.53E-02;4.68E-04;2.45E-03;7.21E-04
11-12-2023_25C (2);12-11-2023;28;25;3.36E-03;5.19E-04;2.63E-03;6.30E-04
11-12-2023_25C (3);12-11-2023;28;25;2.08E-02;2.29E-04;1.29E-03;2.87E-04
11-12-2023_25C (4);12-11-2023;28;25;1.05E-02;5.69E-04;2.47E-03;6.64E-04
11-12-2023_25C (5);12-11-2023;28;25;3.77E-02;1.18E-04;7.46E-04;1.72E-04
11-12-2023_15C (1);12-11-2023;28;15;4.01E-02;2.30E-04;1.06E-03;3.05E-04
11-12-2023_15C (2);12-11-2023;28;15;4.05E-02;1.84E-04;1.16E-03;3.12E-04
11-12-2023_15C (3);12-11-2023;28;15;4.55E-03;5.28E-04;2.71E-03;7.94E-04
11-12-2023_15C (4);12-11-2023;28;15;1.25E-02;3.94E-04;2.38E-03;6.46E-04
11-12-2023_15C (5);12-11-2023;28;15;3.25E-02;2.74E-04;1.50E-03;3.59E-04
11-12-2023_30C (1);12-11-2023;28;30;3.54E-02;2.05E-04;1.11E-03;2.08E-04
11-12-2023_30C (2);12-11-2023;28;30;4.16E-02;1.73E-04;9.86E-04;2.04E-04
11-12-2023_30C (3);12-11-2023;28;30;3.91E-02;1.93E-04;1.27E-03;2.80E-04
11-12-2023_30C (4);12-11-2023;28;30;2.86E-02;2.44E-04;1.61E-03;3.47E-04
2023-12-13_15C (1);12/13/2023;30;15;3.23E-02;1.95E-04;1.12E-03;3.31E-04
2023-12-13_15C (2);12/13/2023;30;15;3.67E-02;1.17E-04;6.80E-04;1.82E-04
2023-12-13_15C (3);12/13/2023;30;15;3.06E-02;9.95E-05;5.66E-04;1.66E-04
2023-12-13_15C (4);12/13/2023;30;15;2.28E-02;9.18E-05;4.61E-04;1.27E-04
2023-12-13_15C (5);12/13/2023;30;15;1.98E-02;6.86E-05;4.37E-04;1.24E-04
2023-12-13_25C (1);12/13/2023;30;25;4.06E-02;2.32E-04;1.21E-03;3.60E-04
2023-12-13_25C (2);12/13/2023;30;25;3.93E-02;1.35E-04;7.70E-04;2.08E-04
2023-12-13_25C (3);12/13/2023;30;25;4.03E-02;1.56E-04;8.29E-04;2.21E-04
2023-12-13_25C (4);12/13/2023;30;25;4.15E-02;1.64E-04;9.53E-04;2.68E-04
2023-12-13_25C (5);12/13/2023;30;25;3.56E-02;1.09E-04;7.81E-04;1.86E-04
2023-12-13_30C (1);12/13/2023;30;30;3.67E-02;1.63E-04;9.92E-04;2.01E-04
2023-12-13_30C (2);12/13/2023;30;30;3.81E-02;1.18E-04;7.92E-04;1.64E-04
2023-12-13_30C (3);12/13/2023;30;30;3.46E-02;1.14E-04;6.53E-04;1.67E-04
2023-12-13_30C (4);12/13/2023;30;30;3.38E-02;1.00E-04;6.05E-04;1.58E-04
2023-12-15_15C (1);12/15/2023;32;15;2.80E-02;1.12E-04;5.50E-04;1.71E-04
2023-12-15_15C (2);12/15/2023;32;15;4.42E-02;1.78E-04;8.82E-04;2.50E-04
2023-12-15_15C (3);12/15/2023;32;15;2.23E-02;2.53E-04;1.31E-03;4.50E-04
2023-12-15_25C (1);12/15/2023;32;25;2.29E-02;3.41E-04;1.78E-03;5.58E-04
2023-12-15_25C (2);12/15/2023;32;25;4.25E-02;2.41E-04;1.20E-03;3.42E-04
2023-12-15_25C (3);12/15/2023;32;25;4.21E-02;2.07E-04;1.11E-03;2.61E-04
2023-12-15_25C (4);12/15/2023;32;25;4.31E-02;1.62E-04;9.09E-04;2.44E-04
2023-12-15_25C (5);12/15/2023;32;25;2.90E-02;1.27E-04;5.79E-04;1.56E-04
2023-12-19_15C (3);12/19/2023;36;15;1.25E-02;4.42E-04;2.41E-03;5.92E-04
2023-12-19_15C (2);12/19/2023;36;15;1.10E-03;5.20E-04;2.74E-03;6.59E-04
2023-12-19_15C (1);12/19/2023;36;15;-7.31E-03;6.30E-04;2.55E-03;7.74E-04
2023-12-19_25C (3);12/19/2023;36;25;3.49E-02;9.59E-05;5.46E-04;1.07E-04
2023-12-19_25C (2);12/19/2023;36;25;2.42E-02;6.63E-05;3.67E-04;8.36E-05
2023-12-19_25C (1);12/19/2023;36;25;2.44E-02;2.94E-04;1.53E-03;3.77E-04
2023-12-19_30C (3);12/19/2023;36;30;-9.06E-03;6.31E-04;2.73E-03;4.11E-04
2023-12-19_30C (2);12/19/2023;36;30;1.17E-02;5.41E-05;2.53E-04;4.96E-05
2023-12-19_30C (1);12/19/2023;36;30;1.85E-02;8.37E-05;3.91E-04;7.15E-05
